Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650984243091,59,286,83,104,103,36,237,68,1217
1650984243105,63,267,89,96,90,53,223,69,1221
1650984243114,59,270,90,95,93,48,225,69,1219
1650984243122,51,269,94,99,91,48,227,65,1217
1650984243130,59,268,91,93,89,49,226,67,1216
1650984243137,59,265,91,97,88,52,224,71,1221
1650984243148,61,270,92,96,91,49,223,68,1223
1650984243156,60,267,91,96,92,49,223,66,1222
1650984243163,58,268,87,102,89,41,229,70,1220
1650984243172,56,266,89,93,93,50,226,67,1219
1650984243181,62,270,90,98,92,50,226,67,1224
1650984243189,56,266,90,98,93,48,224,67,1224
1650984243197,61,271,92,101,92,43,230,65,1218
1650984243207,55,268,93,95,93,47,228,70,1221
1650984243214,54,270,91,99,93,48,230,70,1220
1650984243222,57,270,88,101,94,49,223,69,1222
1650984243230,60,272,93,100,86,48,227,66,1226
1650984243238,59,268,87,99,92,48,227,65,1220
1650984243245,59,270,95,98,92,47,224,67,1221
1650984243255,63,269,89,97,91,45,224,67,1220
1650984243263,55,269,90,97,91,47,227,68,1223
1650984243271,62,272,94,100,95,44,227,69,1222
1650984243280,59,272,94,101,90,46,223,69,1224
1650984243288,59,271,90,99,87,45,229,67,1222
1650984243295,60,267,94,99,95,46,221,63,1220
1650984243304,56,242,90,99,94,48,227,70,1219
1650984243312,59,274,93,100,92,44,222,66,1221
1650984243320,54,274,91,101,91,44,228,67,1224
1650984243328,57,272,92,98,91,46,226,63,1217
1650984243335,56,273,91,96,89,49,221,64,1224
1650984243345,63,271,88,97,93,48,225,69,1227
1650984243353,57,272,89,98,89,45,230,67,1219
1650984243364,58,272,89,96,92,45,227,72,1221
1650984243372,60,271,91,99,92,43,225,66,1223
1650984243380,57,271,90,97,95,50,227,66,1220
1650984243388,59,268,95,97,90,45,223,68,1226
1650984243396,58,275,91,95,90,44,222,68,1223
1650984243404,59,269,92,97,90,48,228,66,1224
1650984243412,60,271,90,100,92,43,226,68,1230
1650984243420,57,268,87,94,88,45,216,66,1228
1650984243429,56,269,88,94,92,48,229,67,1231
1650984243437,55,271,86,98,94,44,221,67,1230
1650984243445,52,271,86,98,93,45,227,65,1230
1650984243454,57,268,88,95,88,44,227,67,1230
1650984243465,58,269,87,95,83,45,226,63,1234
1650984243473,53,273,88,96,90,41,223,59,1233
1650984243480,56,271,83,96,89,45,225,64,1232
1650984243488,57,274,90,97,90,40,222,60,1230
1650984243498,61,273,88,100,90,46,227,65,1231
1650984243505,57,269,85,95,87,43,226,62,1235
1650984243513,58,271,88,98,90,47,224,65,1236
1650984243521,57,269,88,100,87,42,223,65,1232
1650984243530,57,272,90,97,90,44,223,67,1230
1650984243538,56,271,88,100,87,48,225,65,1232
1650984243545,58,275,90,98,90,44,221,67,1234
1650984243553,53,270,90,98,88,43,225,65,1236
1650984243561,57,266,90,97,92,47,226,64,1233
1650984243568,52,272,91,100,91,43,225,65,1231
1650984243577,59,271,89,99,91,45,224,60,1233
1650984243585,58,276,90,101,92,49,224,63,1231
1650984243593,54,270,88,99,92,47,227,65,1236
1650984243602,59,272,91,97,92,48,226,65,1231
1650984243609,53,270,85,94,90,44,226,65,1236
1650984243617,57,274,89,97,91,42,228,59,1233
1650984243626,54,273,79,93,87,45,224,67,1232
1650984243634,58,273,88,97,89,41,220,63,1238
1650984243642,56,274,91,101,95,44,226,70,1232
1650984243651,52,275,90,98,90,47,222,70,1232
1650984243659,53,272,93,98,90,45,226,63,1231
1650984243668,59,269,88,96,88,46,219,62,1236
1650984243677,58,270,86,105,91,46,224,64,1235
1650984243685,54,275,91,99,91,44,224,61,1234
1650984243693,54,271,92,98,88,46,224,65,1237
1650984243702,57,274,87,100,91,42,228,69,1236
1650984243711,58,273,86,98,91,43,221,66,1236
1650984243719,57,277,87,98,93,45,226,64,1234
1650984243726,58,275,88,94,89,49,225,67,1237
1650984243734,53,276,90,101,91,50,226,67,1238
1650984243743,53,271,86,102,89,47,223,62,1236
1650984243751,55,273,88,100,88,43,221,64,1237
1650984243760,57,274,88,100,91,48,223,66,1236
1650984243768,63,275,88,97,88,46,225,68,1234
1650984243775,55,274,90,100,91,40,225,67,1233
1650984243785,61,273,89,98,94,45,226,67,1235
1650984243793,54,271,91,100,92,45,220,65,1239
1650984243800,55,270,88,101,90,47,224,64,1237
1650984243810,53,273,87,101,93,45,224,67,1239
1650984243818,56,270,89,102,91,48,225,66,1232
1650984243826,56,274,85,101,94,46,219,61,1237
1650984243833,55,272,86,99,89,47,226,64,1238
1650984243841,63,273,87,100,93,44,221,66,1237
1650984243851,53,269,91,104,85,42,222,62,1240
