Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650987142092,53,164,79,18,71,31,97,61,855
1650987142106,43,162,71,23,67,39,92,63,853
1650987142114,44,163,70,23,62,34,91,56,854
1650987142122,45,166,69,25,66,34,88,60,853
1650987142130,45,165,71,23,66,36,90,60,853
1650987142137,44,166,70,21,59,36,95,61,856
1650987142147,45,161,71,20,62,34,88,60,855
1650987142155,42,164,70,23,63,34,92,59,852
1650987142163,44,165,69,19,62,35,89,59,852
1650987142171,42,164,70,21,64,37,94,62,853
1650987142178,41,166,71,21,65,36,89,60,852
1650987142188,44,161,71,22,61,36,91,63,855
1650987142196,44,161,68,20,64,33,94,60,855
1650987142203,43,162,67,21,63,36,91,60,851
1650987142211,44,163,68,19,62,33,94,62,853
1650987142219,41,165,73,25,65,33,90,61,853
1650987142228,41,161,67,20,64,37,90,62,852
1650987142236,43,165,65,21,63,39,91,62,854
1650987142244,48,167,71,23,66,36,89,60,848
1650987142254,39,163,69,22,68,36,94,61,853
1650987142262,47,163,67,22,64,34,89,58,853
1650987142270,42,165,73,19,64,32,90,62,858
1650987142278,40,159,74,22,58,35,90,60,851
1650987142288,39,165,67,20,62,35,90,60,854
1650987142296,40,163,67,22,63,34,92,63,850
1650987142304,44,164,70,19,63,35,97,60,855
1650987142311,45,166,68,22,65,38,93,61,853
1650987142319,42,162,69,22,59,39,91,65,852
1650987142328,45,168,68,21,61,34,90,59,852
1650987142336,46,165,67,22,63,37,94,63,853
1650987142345,47,162,69,21,63,36,95,60,856
1650987142353,40,163,70,21,61,34,92,57,854
1650987142361,45,159,74,23,64,38,90,62,852
1650987142371,44,163,67,18,65,33,90,59,854
1650987142379,46,164,69,21,61,35,91,64,855
1650987142389,46,165,71,17,63,33,91,60,853
1650987142398,43,163,68,22,66,37,89,58,851
1650987142406,43,164,70,24,62,39,92,59,854
1650987142414,46,167,73,20,60,39,91,58,850
1650987142423,44,161,71,19,62,38,89,61,852
1650987142431,42,164,71,21,67,35,91,59,854
1650987142439,44,166,67,24,66,38,95,60,857
1650987142449,48,168,73,23,65,37,90,59,853
1650987142457,40,164,71,23,62,34,92,58,852
1650987142465,47,166,72,23,63,37,94,57,850
1650987142473,46,164,75,17,66,38,94,59,859
1650987142483,48,164,67,22,64,38,96,65,852
1650987142492,46,167,70,22,63,36,88,58,846
1650987142499,41,162,71,25,66,43,93,64,851
1650987142507,40,163,70,23,62,35,87,59,851
1650987142516,38,163,67,19,61,35,91,58,852
1650987142524,45,161,70,19,64,38,91,64,852
1650987142532,43,161,72,20,61,36,89,60,853
1650987142541,48,166,72,22,63,38,91,62,852
1650987142549,45,163,67,19,62,33,91,63,851
1650987142557,49,165,70,20,67,38,92,59,854
