Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650985552091,49,130,77,32,90,34,116,45,859
1650985552105,55,135,66,41,74,36,117,58,840
1650985552114,50,137,70,39,73,34,118,58,840
1650985552122,44,135,66,39,74,38,120,58,843
1650985552131,52,133,67,44,76,39,120,64,845
1650985552139,51,134,66,42,74,32,117,60,841
1650985552146,48,136,69,44,77,34,119,58,843
1650985552154,52,134,65,40,73,37,119,56,836
1650985552165,50,134,67,39,76,37,121,60,837
1650985552175,52,143,67,40,75,37,121,64,840
1650985552186,52,138,69,41,72,44,121,65,840
1650985552197,53,135,64,38,72,38,116,60,841
1650985552205,54,138,68,42,76,38,122,59,846
1650985552214,52,134,64,42,69,35,115,59,838
1650985552222,52,138,67,43,73,38,121,60,845
1650985552230,48,134,65,37,75,39,121,65,845
1650985552244,52,138,67,40,78,41,121,60,843
1650985552253,55,139,71,39,75,38,117,59,841
1650985552262,53,135,67,43,76,38,119,57,843
1650985552270,47,135,65,40,76,33,120,62,844
1650985552278,47,132,64,43,76,36,117,55,844
1650985552285,49,135,65,39,71,35,119,59,842
1650985552293,47,134,66,44,77,39,120,60,844
1650985552301,48,134,63,40,75,43,121,61,845
1650985552309,46,132,66,41,76,35,123,60,837
1650985552321,51,138,66,39,78,37,123,59,843
1650985552329,62,144,61,42,79,36,123,62,848
1650985552344,52,138,70,42,74,36,121,60,844
1650985552353,49,139,67,43,76,36,116,56,843
1650985552361,46,135,70,39,76,41,121,61,845
1650985552368,50,135,64,37,72,37,119,61,846
1650985552376,52,133,66,37,74,39,122,58,844
1650985552386,48,137,66,45,75,40,119,59,850
1650985552393,48,144,69,39,72,37,123,61,842
1650985552401,47,134,62,41,75,40,121,58,840
1650985552409,48,138,65,41,74,37,121,65,848
1650985552418,51,136,64,44,78,42,121,59,845
1650985552426,53,141,68,40,74,35,115,62,843
1650985552433,51,140,65,43,76,39,121,58,846
1650985552443,51,138,67,40,78,37,124,61,845
1650985552451,52,136,68,36,75,35,122,57,843
1650985552458,49,136,62,41,74,36,123,58,849
1650985552466,44,138,65,41,76,38,117,57,848
1650985552474,47,139,61,40,77,37,119,61,845
1650985552483,50,135,69,42,75,38,123,62,844
1650985552490,47,135,67,37,75,35,121,63,848
1650985552498,46,137,67,39,69,36,123,60,849
1650985552508,52,137,63,42,74,40,118,63,846
1650985552516,51,136,70,43,75,35,124,61,844
1650985552524,53,139,66,42,78,37,125,60,847
1650985552532,49,135,63,40,75,35,117,59,848
1650985552540,51,139,66,39,72,37,119,57,842
1650985552548,48,136,68,39,75,37,118,58,847
1650985552555,51,147,66,38,73,39,121,57,838
1650985552566,50,137,64,38,72,41,123,58,848
1650985552574,48,138,68,39,78,37,122,59,849
1650985552582,49,135,71,44,75,37,124,60,847
1650985552589,44,141,66,40,76,38,124,61,845
1650985552597,47,139,69,39,74,38,121,58,846
1650985552605,47,135,64,40,70,38,109,58,846
1650985552612,48,133,65,43,76,36,124,60,849
1650985552621,55,138,71,39,75,38,125,58,848
1650985552630,54,140,72,41,73,41,120,59,842
1650985552640,45,135,67,39,74,40,120,62,846
1650985552650,51,136,70,41,78,39,123,59,845
1650985552658,54,136,70,43,80,39,124,62,848
1650985552666,49,138,68,41,71,38,121,58,845
1650985552674,46,132,64,43,77,38,125,61,849
1650985552682,48,140,67,40,74,37,120,58,843
1650985552691,51,138,67,42,76,35,120,61,853
1650985552699,49,139,66,37,73,39,120,61,847
1650985552706,48,138,65,40,74,36,118,59,844
1650985552716,53,132,64,43,73,41,121,64,847
1650985552724,51,137,67,42,78,37,127,62,847
1650985552732,50,139,65,40,77,40,123,61,849
1650985552740,51,139,67,42,76,40,124,60,846
1650985552750,50,134,62,49,71,40,120,56,847
1650985552760,45,141,67,41,79,37,122,60,851
1650985552767,46,142,65,39,76,40,122,58,851
1650985552775,47,134,65,41,76,34,119,66,849
1650985552783,55,138,68,42,76,40,124,57,851
1650985552791,52,139,63,44,76,35,122,61,845
1650985552799,51,137,66,41,78,38,125,63,852
1650985552806,46,136,71,40,77,36,121,58,847
1650985552814,51,137,63,40,69,35,119,62,851
1650985552824,52,143,69,43,76,41,119,58,847
1650985552832,53,137,70,44,79,39,120,62,849
1650985552840,51,141,68,41,76,37,121,60,849
1650985552848,53,141,65,35,77,43,125,62,850
1650985552856,45,139,64,40,72,36,120,58,853
1650985552864,53,135,67,38,74,35,122,58,765
1650985552871,47,133,60,42,75,40,119,60,852
1650985552879,49,138,67,40,77,40,118,61,848
1650985552888,49,137,65,42,75,36,122,55,846
1650985552896,50,139,67,40,76,42,119,65,852
1650985552904,45,137,66,40,73,38,120,57,847
1650985552912,51,136,65,35,75,38,119,56,850
1650985552922,58,140,65,40,73,37,122,57,850
1650985552930,51,137,66,38,74,35,121,60,852
1650985552938,49,138,71,42,72,42,118,58,848
1650985552947,53,140,68,41,74,39,123,58,847
1650985552955,45,136,64,39,71,35,120,53,850
1650985552963,52,140,64,38,72,38,120,63,852
1650985552971,49,138,64,40,78,40,122,61,853
1650985552980,49,140,62,41,73,38,116,58,847
1650985552987,44,134,63,43,77,42,124,61,852
1650985552995,49,137,66,40,82,39,123,58,847
1650985553005,50,138,62,38,72,38,121,58,852
1650985553013,51,142,66,43,73,36,123,57,848
1650985553020,48,137,63,40,75,37,124,60,854
1650985553030,50,141,65,39,79,41,120,62,851
1650985553037,47,137,67,44,78,40,122,61,852
1650985553045,53,134,64,40,79,40,123,59,854
1650985553055,46,139,73,44,77,40,124,61,849
1650985553062,51,136,65,40,75,41,122,59,854
1650985553071,51,136,65,40,78,34,123,59,852
1650985553079,49,140,66,40,74,40,126,58,853
1650985553088,51,142,66,37,77,36,117,60,850
1650985553097,48,137,63,39,82,35,122,60,850
1650985553104,49,142,66,41,75,39,126,62,853
1650985553112,55,137,65,39,82,40,118,61,851
1650985553121,50,134,66,37,78,35,125,56,850
1650985553129,48,142,67,39,72,38,121,57,849
1650985553137,48,142,70,44,77,34,125,59,853
1650985553145,48,127,67,40,75,40,123,61,858
1650985553154,50,144,65,42,77,41,125,59,853
1650985553162,45,140,65,41,79,39,121,59,853
1650985553169,49,140,65,41,76,35,125,64,851
1650985553177,48,141,62,42,74,39,128,55,854
1650985553186,41,140,68,43,73,39,126,63,856
1650985553194,44,139,67,37,77,36,124,59,851
1650985553202,49,137,71,40,78,44,125,63,852
1650985553212,47,136,64,42,74,36,125,58,855
1650985553219,49,139,63,40,73,35,123,60,852
1650985553227,48,139,68,43,71,36,125,62,851
1650985553236,53,140,65,43,74,39,123,60,853
1650985553244,45,141,66,42,72,41,126,60,861
1650985553252,47,141,69,43,76,39,123,58,853
1650985553260,51,139,66,38,75,39,121,63,849
1650985553269,46,145,69,40,80,38,120,57,854
1650985553277,50,141,67,38,78,38,124,64,855
1650985553285,50,143,69,44,76,37,125,65,856
1650985553292,49,138,64,43,74,41,123,64,858
1650985553302,51,140,71,40,69,39,119,57,852
1650985553310,51,161,66,40,74,39,122,60,855
1650985553318,48,139,68,41,79,39,123,64,768
1650985553326,47,139,65,42,78,41,121,54,856
1650985553334,48,144,67,40,77,36,121,62,855
1650985553342,43,140,66,40,76,39,127,62,854
1650985553350,47,140,65,40,72,33,128,58,856
1650985553358,47,143,65,39,77,39,124,58,848
1650985553365,46,138,67,40,79,38,126,63,859
1650985553375,51,145,70,42,71,40,127,63,855
1650985553382,51,141,63,40,73,38,122,58,856
1650985553391,49,141,69,44,78,41,125,57,856
1650985553399,52,142,66,42,78,38,124,61,861
1650985553409,52,143,68,39,75,40,126,63,853
1650985553417,46,141,63,37,74,38,123,57,850
1650985553425,48,141,66,35,72,38,123,58,857
1650985553433,49,141,59,42,72,38,127,61,859
1650985553443,48,138,70,36,74,37,121,54,856
1650985553452,50,144,65,39,74,36,123,55,857
1650985553460,50,142,66,37,74,38,130,62,856
1650985553468,50,142,69,38,75,36,122,62,857
1650985553478,51,138,64,42,75,38,127,56,855
1650985553486,46,141,66,45,76,39,123,57,859
1650985553493,49,142,67,41,79,41,124,59,857
1650985553501,47,134,64,40,76,42,124,62,859
1650985553509,51,137,67,40,75,38,123,62,854
1650985553517,49,139,66,43,80,39,127,66,860
1650985553525,39,141,65,40,75,37,125,60,858
1650985553534,51,139,66,39,75,35,124,58,855
1650985553542,53,141,65,39,75,33,123,61,857
1650985553550,50,139,67,41,81,36,126,57,858
1650985553557,45,138,67,44,71,40,125,58,857
1650985553565,46,139,62,38,74,34,120,57,858
1650985553574,49,143,69,42,79,38,130,58,854
1650985553582,45,140,64,42,79,40,123,59,857
1650985553590,49,133,63,37,73,38,124,58,859
1650985553598,48,139,68,37,76,36,120,60,853
1650985553605,53,139,71,42,77,39,126,61,861
1650985553614,49,139,65,37,76,38,124,62,856
1650985553622,52,139,66,41,79,34,122,55,856
1650985553630,49,139,66,45,75,37,127,60,859
1650985553639,48,137,65,39,77,37,127,62,857
1650985553647,48,137,67,40,75,39,125,56,860
1650985553654,50,138,63,40,72,36,122,59,861
1650985553662,48,136,67,36,74,34,127,64,856
1650985553672,56,142,69,40,77,38,128,64,859
1650985553680,46,137,63,35,76,38,123,59,859
1650985553688,45,139,64,36,72,37,125,58,858
1650985553696,51,137,65,42,75,37,126,60,860
1650985553706,53,139,63,42,75,38,128,60,860
1650985553714,52,141,66,41,79,39,127,64,858
1650985553722,52,141,67,41,77,37,123,59,855
1650985553730,45,137,65,42,75,41,126,58,858
1650985553737,47,139,63,40,74,39,127,54,859
1650985553746,55,142,64,42,76,37,124,64,861
1650985553754,47,140,64,37,79,36,123,59,861
1650985553762,47,144,62,40,77,39,127,56,861
1650985553770,48,134,65,37,73,35,118,54,858
1650985553777,54,139,63,42,76,40,125,60,863
1650985553786,47,133,65,39,74,38,122,62,861
1650985553794,50,137,66,39,78,35,123,60,862
1650985553802,50,143,66,43,78,37,126,57,856
1650985553810,49,142,64,43,75,39,121,58,861
1650985553817,47,138,66,37,75,37,120,60,859
1650985553825,49,137,66,44,78,36,126,61,859
1650985553834,49,140,66,41,79,38,125,58,862
1650985553842,52,138,66,38,75,39,126,57,864
1650985553850,53,140,68,43,79,38,130,58,860
1650985553858,49,141,68,40,80,37,127,59,858
1650985553865,52,140,70,45,78,41,129,62,862
