Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648892700091,51,186,81,64,66,53,134,76,900
1648892700105,56,199,74,46,70,43,133,61,888
1648892700116,58,196,76,49,60,44,140,65,895
1648892700124,48,193,78,52,65,41,137,68,889
1648892700132,55,195,77,47,69,42,137,59,889
1648892700140,51,197,76,51,67,48,134,65,889
1648892700147,51,194,79,48,64,38,139,66,894
1648892700155,57,201,73,43,69,38,141,65,890
1648892700163,50,195,78,48,65,37,141,63,879
1648892700171,57,200,79,49,71,39,134,67,882
1648892700179,58,196,73,45,68,46,136,61,900
1648892700187,50,200,78,51,65,43,139,74,887
1648892700195,48,201,93,53,56,50,153,57,884
1648892700203,61,184,74,57,82,35,126,73,896
1648892700210,76,204,83,63,59,32,142,54,909
1648892700218,45,187,88,46,60,48,153,57,883
1648892700226,72,196,72,65,62,42,130,72,894
1648892700236,57,198,77,52,60,44,137,62,892
1648892700246,54,202,82,51,67,40,140,68,892
1648892700254,61,202,71,51,64,42,136,65,889
1648892700262,56,202,79,57,69,43,145,66,892
1648892700269,47,199,80,49,63,39,142,72,891
1648892700277,50,202,81,45,65,42,143,70,890
1648892700285,49,204,80,50,64,40,136,60,897
1648892700293,53,205,81,49,65,39,141,63,893
1648892700301,54,204,75,48,64,44,134,66,897
1648892700313,56,203,79,46,63,45,147,68,887
1648892700321,53,202,80,51,64,43,145,62,891
1648892700329,56,205,78,49,62,42,146,66,893
1648892700337,58,201,77,49,69,44,142,65,895
1648892700345,55,201,82,50,70,38,144,68,901
1648892700354,50,204,82,48,68,43,142,66,892
1648892700362,55,204,77,50,66,40,144,64,895
1648892700370,49,199,76,52,67,45,145,66,890
1648892700378,52,194,77,53,65,42,143,67,894
1648892700387,54,197,80,51,62,38,143,69,890
1648892700394,58,200,76,50,69,47,141,62,894
1648892700402,58,202,76,49,66,44,143,60,896
1648892700411,51,199,78,47,63,46,145,64,894
1648892700421,52,202,78,46,67,34,147,65,894
1648892700429,49,200,76,53,66,39,142,67,899
1648892700437,54,202,76,48,66,46,142,65,894
1648892700445,53,203,74,48,64,39,144,63,896
1648892700453,59,199,79,52,69,40,142,65,894
1648892700461,51,203,79,48,65,41,147,70,889
1648892700470,54,198,75,43,62,42,148,64,894
1648892700478,55,203,77,49,62,41,144,61,894
1648892700485,51,203,81,51,61,41,145,65,888
1648892700493,55,199,76,46,61,38,146,66,892
1648892700503,57,203,71,46,69,42,140,62,896
1648892700510,52,205,79,57,66,39,145,66,894
1648892700520,55,200,74,49,71,45,145,61,896
1648892700528,56,200,77,50,69,40,143,62,892
1648892700538,59,204,74,52,69,44,145,62,891
1648892700545,55,204,79,48,63,44,149,68,893
1648892700553,56,205,82,52,68,41,145,60,891
1648892700561,58,202,76,47,66,38,145,66,895
1648892700570,58,198,75,53,69,44,152,61,891
1648892700578,57,202,74,50,68,42,150,64,895
1648892700586,51,200,78,51,66,41,151,64,894
1648892700594,53,204,79,55,68,44,148,64,895
1648892700603,58,203,72,47,64,47,148,60,896
1648892700611,57,203,78,45,67,33,150,67,897
1648892700619,56,205,76,49,64,44,150,67,896
1648892700627,50,206,78,56,67,41,151,61,897
1648892700637,53,207,77,53,64,38,150,60,894
1648892700644,55,209,80,49,63,41,149,64,892
1648892700652,53,204,74,49,68,39,151,63,891
1648892700662,56,203,77,49,65,39,150,64,897
1648892700671,58,207,76,50,66,40,149,66,898
1648892700679,55,202,76,54,72,44,148,63,898
1648892700688,56,204,77,52,69,45,156,66,895
1648892700697,56,209,76,49,65,46,150,63,894
1648892700704,59,206,76,49,63,44,156,64,896
1648892700712,54,205,77,52,69,47,146,61,898
1648892700720,54,208,79,50,68,41,145,67,891
1648892700729,57,205,74,50,71,47,149,61,897
1648892700737,58,211,75,53,65,47,153,64,898
1648892700745,57,208,80,47,67,60,154,66,894
1648892700752,49,210,75,52,67,41,153,62,898
1648892700760,54,215,76,50,64,41,149,63,901
1648892700768,65,207,80,47,68,44,151,69,890
1648892700777,52,213,77,53,69,37,149,68,899
1648892700786,54,206,80,53,65,42,150,65,899
1648892700794,53,212,79,50,67,40,150,68,899
1648892700803,57,211,72,45,68,46,150,64,896
1648892700811,54,207,76,51,65,39,151,66,897
1648892700819,56,212,78,48,61,41,156,64,896
1648892700828,51,216,77,49,63,38,152,64,899
1648892700837,60,216,76,51,63,39,154,65,901
1648892700845,59,205,76,46,69,44,155,65,897
1648892700852,59,212,76,49,69,38,151,65,898
1648892700862,61,208,73,48,66,46,160,64,900
1648892700871,53,209,77,56,66,45,150,61,894
1648892700879,54,207,72,49,64,41,155,65,904
1648892700886,54,211,83,49,72,38,155,65,897
1648892700896,59,216,75,48,67,45,156,64,901
1648892700904,47,211,81,54,68,35,157,68,902
1648892700912,59,213,79,46,70,41,159,62,899
1648892700921,57,210,76,48,69,46,159,66,901
1648892700932,55,215,82,50,65,42,157,60,900
1648892700940,56,213,75,53,69,40,159,65,904
1648892700947,50,214,74,52,61,40,160,61,904
1648892700957,53,215,74,49,67,42,157,69,902
1648892700964,56,211,80,54,72,43,156,61,902
1648892700972,58,212,76,55,68,40,159,61,896
1648892700982,56,211,82,50,62,44,160,67,900
1648892700990,59,213,73,50,68,45,161,59,898
1648892700998,50,217,78,49,68,36,159,64,903
1648892701005,52,219,78,51,63,44,160,62,899
1648892701015,55,215,73,50,63,44,161,65,903
1648892701022,54,213,76,45,71,42,153,60,906
1648892701031,55,219,74,50,67,41,158,68,901
1648892701039,54,216,78,51,68,43,161,63,896
1648892701046,55,221,76,52,70,38,158,63,902
1648892701054,56,211,76,55,68,48,162,60,907
1648892701062,53,217,78,49,65,40,157,63,899
1648892701071,53,215,80,51,70,46,162,67,902
1648892701079,63,221,75,48,64,42,154,65,903
1648892701087,50,216,75,54,68,40,162,64,898
1648892701095,57,218,76,50,69,45,160,71,900
1648892701104,62,221,74,52,65,39,162,65,903
1648892701111,55,215,76,53,66,44,162,60,899
1648892701119,57,214,75,53,67,45,166,61,898
