Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650986958099,42,180,64,27,63,22,93,46,786
1650986958113,44,167,65,25,59,30,82,54,764
1650986958121,41,166,63,18,60,31,82,52,769
1650986958129,45,170,66,25,59,25,80,54,766
1650986958136,45,166,64,21,61,28,85,58,769
1650986958144,40,165,63,19,59,30,85,53,766
1650986958152,41,169,65,30,59,26,85,54,767
1650986958161,41,170,65,25,61,32,84,54,767
1650986958170,47,175,56,34,71,24,78,66,762
1650986958180,38,187,55,38,47,43,92,47,777
1650986958188,46,182,56,26,67,17,95,49,777
1650986958196,52,157,79,16,63,24,90,58,770
1650986958204,43,159,69,31,48,37,90,46,780
1650986958213,55,173,61,16,70,23,83,54,771
1650986958221,36,185,57,32,62,18,92,49,777
1650986958228,30,181,57,27,52,22,95,62,765
1650986958236,52,175,54,29,73,38,83,60,763
1650986958247,47,170,66,21,59,31,85,56,768
1650986958256,43,171,67,25,58,30,84,56,770
1650986958264,41,167,66,21,57,32,86,56,767
1650986958272,40,168,63,21,61,33,83,56,770
1650986958280,41,171,65,20,58,30,87,56,766
1650986958287,38,171,64,20,55,29,82,54,771
1650986958295,40,169,67,22,55,29,84,54,771
1650986958303,42,171,64,27,58,27,81,53,768
1650986958311,39,168,67,22,61,29,83,56,770
1650986958318,41,169,70,21,55,30,82,59,771
1650986958326,42,172,68,23,57,29,85,58,767
1650986958334,41,169,66,22,56,29,82,55,769
1650986958342,41,166,65,19,59,25,81,52,767
1650986958349,42,167,65,27,57,30,83,54,765
1650986958358,41,170,69,24,55,28,82,57,768
1650986958367,46,169,66,21,58,31,85,55,769
1650986958377,42,168,65,23,57,29,78,58,769
1650986958385,41,168,65,23,59,32,85,54,767
1650986958393,40,172,64,22,56,27,84,55,769
1650986958401,44,169,66,22,55,31,86,58,768
1650986958411,41,170,66,21,54,31,87,53,765
1650986958419,39,171,67,20,56,30,85,55,769
1650986958427,44,170,63,19,59,33,85,52,767
1650986958435,42,164,64,22,62,28,80,51,764
1650986958442,42,168,63,23,58,29,82,55,771
1650986958450,43,168,63,19,59,32,85,52,772
1650986958458,42,170,60,21,56,29,84,56,770
1650986958465,44,170,65,22,57,29,85,54,767
1650986958473,37,167,68,24,58,28,84,53,768
1650986958481,38,183,54,33,63,29,79,68,762
1650986958489,34,182,62,27,54,32,97,55,770
1650986958497,55,171,72,29,48,44,78,57,786
1650986958505,56,164,61,31,49,44,76,48,781
1650986958513,34,182,56,33,51,35,84,48,785
1650986958521,47,160,71,30,53,43,99,57,778
1650986958529,49,167,64,25,58,34,81,51,770
1650986958539,42,172,68,23,58,29,82,56,767
1650986958547,40,166,67,25,57,29,80,53,769
1650986958556,41,168,64,23,59,31,84,56,768
1650986958563,42,168,67,21,57,30,88,57,771
1650986958571,38,168,66,19,57,32,83,52,767
1650986958579,42,172,65,19,56,30,84,57,769
1650986958590,44,168,63,21,58,27,84,58,769
1650986958597,40,169,65,22,58,27,84,53,771
1650986958605,41,168,67,22,55,27,84,54,767
1650986958613,40,170,65,24,55,28,83,56,773
1650986958621,39,167,64,23,59,32,83,55,769
1650986958630,41,167,62,22,59,31,84,56,773
1650986958638,44,168,68,23,57,29,80,56,766
1650986958646,42,170,64,21,56,27,85,56,771
1650986958656,39,167,64,22,56,33,83,56,767
1650986958664,42,172,64,21,55,29,82,56,767
1650986958672,41,168,63,21,57,32,82,53,771
1650986958680,40,166,64,21,55,29,84,57,768
1650986958687,40,167,63,20,56,29,83,52,772
1650986958695,38,169,68,23,59,29,83,55,766
1650986958703,36,169,67,22,60,30,84,53,767
1650986958714,41,169,66,21,55,28,84,52,768
1650986958722,42,170,64,24,54,28,83,51,768
1650986958729,40,169,65,22,58,31,86,56,769
1650986958737,44,168,68,22,56,26,83,52,769
1650986958745,39,165,64,19,56,30,83,52,770
1650986958754,42,171,64,23,59,31,82,56,773
1650986958762,40,165,64,22,61,32,84,55,768
1650986958770,44,170,66,21,59,27,84,53,768
1650986958777,40,168,64,23,57,27,82,51,768
1650986958785,40,167,63,22,57,29,84,58,770
1650986958794,39,167,68,22,58,32,86,53,772
1650986958802,39,168,64,25,55,31,82,56,769
1650986958810,38,169,62,23,55,28,81,56,770
1650986958817,42,170,64,25,59,32,83,55,772
1650986958827,45,167,63,22,57,28,83,56,766
1650986958836,46,167,64,21,58,26,85,55,767
1650986958846,45,169,64,20,58,31,85,54,772
1650986958854,39,169,64,21,57,30,82,53,770
1650986958862,39,168,64,23,59,30,84,50,771
1650986958870,42,168,69,24,58,30,83,55,769
1650986958877,40,170,66,23,58,31,83,55,772
1650986958887,43,171,67,20,58,32,84,54,772
1650986958897,42,167,66,21,56,32,85,53,767
1650986958905,41,166,67,21,58,27,83,54,767
1650986958913,38,168,66,21,58,32,85,56,772
1650986958921,41,173,64,21,55,31,83,54,771
1650986958930,40,169,62,22,55,30,84,55,768
1650986958938,42,170,62,23,56,28,85,55,773
