Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648643732091,50,88,59,23,58,33,76,46,541
1648643732104,52,73,62,17,65,34,62,55,526
1648643732113,46,82,71,17,58,37,66,57,518
1648643732121,52,78,69,14,64,36,70,61,522
1648643732129,56,75,69,10,62,34,64,57,524
1648643732137,53,80,69,13,62,35,64,63,521
1648643732145,50,78,68,11,63,35,71,54,521
1648643732153,45,77,71,14,62,37,69,58,525
1648643732164,45,78,69,10,59,36,66,58,518
1648643732172,50,77,69,14,59,35,66,60,521
1648643732179,49,71,70,14,63,35,70,55,521
1648643732187,48,75,74,12,57,34,68,55,517
1648643732195,46,71,68,13,64,38,63,54,521
1648643732204,54,80,69,14,58,30,67,54,514
1648643732212,46,76,65,12,56,32,65,56,522
1648643732220,53,84,73,10,58,37,63,61,524
1648643732228,48,81,66,13,61,34,65,60,520
1648643732238,58,78,70,13,62,35,68,62,524
1648643732246,49,80,66,12,57,35,68,53,519
1648643732254,50,80,72,12,52,34,68,57,525
1648643732263,49,81,69,10,59,34,65,58,525
1648643732271,51,80,66,11,55,39,67,57,518
1648643732279,46,74,69,11,62,33,66,65,521
1648643732288,41,78,65,13,58,36,70,59,516
1648643732296,52,76,68,10,54,33,67,58,524
1648643732303,50,78,67,13,63,33,64,56,522
1648643732311,44,76,72,8,54,37,65,53,522
1648643732321,51,77,70,12,61,38,67,56,527
1648643732329,52,79,68,15,64,31,69,56,520
1648643732336,53,83,70,13,60,39,70,62,521
1648643732344,48,76,69,11,64,34,67,58,513
1648643732354,53,78,71,11,59,38,69,61,523
1648643732361,53,77,67,13,57,31,65,56,528
1648643732370,52,80,71,12,59,31,63,59,524
1648643732378,47,79,67,14,61,38,68,56,523
1648643732386,50,79,70,13,59,39,69,60,520
1648643732396,50,77,67,16,62,39,72,55,523
1648643732403,46,75,68,14,54,31,65,52,520
1648643732411,48,81,69,11,57,33,68,55,523
1648643732419,54,70,67,15,61,31,68,57,524
1648643732427,49,76,67,16,61,34,67,58,524
1648643732435,49,80,70,12,59,35,64,58,525
1648643732443,46,78,69,14,65,34,65,59,522
1648643732451,51,78,67,17,56,37,68,56,521
1648643732459,49,82,67,13,58,33,66,62,526
1648643732466,40,81,67,16,66,38,68,59,522
1648643732474,52,79,70,10,66,36,66,57,523
1648643732482,49,74,66,13,57,36,65,56,518
1648643732490,47,77,70,10,60,37,63,56,525
1648643732497,52,75,68,12,57,31,67,55,519
1648643732505,46,81,68,14,60,38,70,59,525
1648643732514,49,79,69,14,59,29,70,58,524
1648643732522,46,80,70,17,59,40,67,53,523
1648643732530,46,79,70,14,62,36,66,59,522
1648643732537,46,80,68,14,61,39,63,57,516
1648643732545,49,79,66,15,58,38,70,59,520
1648643732554,46,79,64,10,56,36,70,57,525
1648643732562,52,80,69,13,60,42,70,60,527
1648643732570,47,79,64,16,61,29,70,58,522
1648643732577,55,77,70,11,60,33,72,59,524
1648643732585,51,75,67,13,59,35,67,63,528
1648643732593,54,82,70,12,66,33,67,61,521
1648643732602,51,80,68,14,63,49,74,54,541
1648643732610,43,84,62,20,53,46,71,53,537
1648643732618,47,91,64,12,67,27,81,51,541
1648643732627,65,73,71,15,57,49,61,71,512
1648643732635,50,90,63,24,54,37,75,54,533
1648643732645,47,74,62,11,57,34,74,60,515
1648643732655,50,79,72,12,60,36,67,53,519
1648643732663,49,80,70,17,59,37,68,61,516
1648643732671,47,80,68,14,66,35,69,56,524
1648643732681,50,80,71,13,60,40,66,63,525
1648643732689,48,80,69,15,59,33,70,59,524
1648643732696,52,76,67,13,59,36,69,59,522
1648643732706,45,77,76,6,75,23,82,61,524
1648643732714,55,72,80,14,56,42,62,69,518
1648643732722,64,67,79,9,70,27,75,58,532
1648643732730,51,90,56,23,53,47,64,59,536
1648643732738,39,72,83,9,67,38,63,68,510
1648643732746,42,90,63,15,65,44,68,50,524
1648643732754,36,95,66,5,73,25,80,53,536
1648643732762,35,91,68,10,67,32,86,53,538
1648643732771,49,76,66,14,58,33,71,57,520
1648643732779,52,75,58,15,60,33,71,57,528
1648643732787,51,74,68,13,60,37,71,64,522
1648643732795,43,83,69,12,58,31,73,59,527
1648643732803,50,79,68,13,64,33,66,57,519
1648643732810,43,81,68,13,56,41,70,55,527
1648643732818,46,79,64,12,61,29,72,63,527
1648643732826,48,79,69,12,66,32,69,56,522
1648643732834,49,77,70,15,58,35,76,58,522
1648643732845,47,78,69,15,57,33,69,56,528
1648643732854,50,80,67,13,61,34,70,55,523
1648643732862,48,72,71,16,62,34,71,57,526
1648643732870,43,77,72,13,61,36,74,54,526
1648643732877,47,78,68,13,58,34,68,57,525
1648643732885,49,81,70,12,63,32,70,64,519
1648643732893,50,74,69,11,58,36,68,57,523
1648643732901,45,75,70,14,61,34,64,56,523
1648643732912,47,77,70,10,60,32,69,56,518
1648643732921,51,75,65,15,55,32,69,56,523
1648643732928,52,76,71,18,62,35,65,59,524
1648643732936,47,83,69,17,61,42,75,55,525
1648643732944,46,81,70,11,62,30,69,61,523
1648643732952,53,81,69,15,59,36,73,63,523
1648643732960,49,83,72,15,69,40,76,57,524
1648643732970,50,78,68,16,64,37,71,54,524
1648643732980,52,82,68,13,60,38,70,63,524
1648643732989,54,82,66,14,60,33,66,58,525
1648643732998,50,74,63,16,61,37,72,60,522
1648643733006,52,80,70,13,60,34,74,57,522
1648643733014,47,80,68,13,60,33,70,57,522
1648643733022,45,78,66,15,61,37,66,63,528
1648643733030,40,75,69,12,60,33,72,59,519
1648643733040,47,74,66,16,61,34,65,59,519
1648643733201,49,78,68,13,62,35,74,55,522
1648643733209,51,76,67,16,61,38,75,61,528
1648643733217,50,77,72,12,65,33,68,57,524
1648643733225,51,81,71,13,59,31,70,51,526
1648643733232,48,79,73,10,60,35,75,54,528
1648643733240,47,82,67,13,64,37,76,65,531
1648643733248,50,81,69,16,60,32,69,61,522
1648643733259,53,83,69,14,61,33,67,55,521
1648643733268,48,84,69,17,60,35,69,59,524
1648643733278,50,84,67,10,62,37,70,58,520
1648643733286,52,84,67,14,65,32,87,50,534
1648643733297,59,75,81,12,57,49,65,72,520
1648643733305,40,78,75,18,57,37,68,67,528
1648643733313,63,95,70,9,70,34,81,51,536
1648643733324,49,76,67,14,63,38,76,61,508
1648643733334,53,78,65,14,54,37,66,58,520
1648643733342,53,79,68,8,61,33,69,51,519
1648643733351,44,77,64,11,61,33,68,58,526
1648643733359,44,76,67,15,60,34,75,59,529
1648643733367,42,78,66,13,63,35,77,57,526
1648643733375,51,76,66,12,59,35,73,57,522
1648643733383,49,78,65,14,55,36,71,58,523
1648643733391,48,80,73,15,58,36,76,55,525
1648643733403,44,86,57,16,70,23,81,52,539
1648643733411,52,74,64,18,52,36,91,50,533
1648643733419,61,67,85,12,64,41,69,63,539
1648643733427,43,88,72,23,52,46,65,64,525
1648643733435,39,98,60,15,62,33,80,50,542
1648643733443,64,77,75,14,58,47,68,68,526
1648643733451,60,71,83,9,60,36,71,63,522
1648643733462,54,77,68,12,64,35,75,58,527
1648643733472,49,75,68,12,60,32,74,55,526
1648643733479,52,81,70,14,60,36,77,57,530
1648643733487,48,81,65,17,63,35,77,61,524
1648643733495,44,78,70,12,61,37,75,56,527
1648643733503,44,79,68,13,59,37,69,58,522
1648643733511,48,78,69,12,61,36,72,55,521
1648643733521,48,77,69,14,60,35,75,58,524
1648643733528,52,81,65,14,58,34,76,56,521
1648643733536,49,81,71,11,54,36,74,59,527
1648643733544,46,78,71,15,60,39,72,52,522
1648643733552,53,77,68,17,66,35,74,59,528
1648643733560,50,78,65,14,59,34,72,56,518
1648643733567,50,74,68,12,58,36,69,59,522
1648643733576,51,80,70,11,63,34,81,61,516
1648643733584,57,80,68,16,54,39,75,59,522
1648643733593,48,85,64,17,60,32,71,60,525
1648643733605,52,84,72,16,61,36,79,64,536
1648643733613,43,82,67,16,56,34,71,55,524
1648643733621,48,76,66,11,58,32,72,53,525
1648643733629,46,81,66,21,63,37,72,59,530
1648643733637,51,83,68,15,58,29,72,56,525
1648643733644,49,80,72,17,61,32,76,56,525
1648643733653,43,78,66,16,62,32,68,60,522
1648643733665,53,81,68,14,61,29,76,65,521
1648643733674,49,83,71,20,62,38,72,63,526
1648643733683,49,80,69,11,59,33,73,54,525
1648643733691,48,85,64,14,60,38,73,61,527
1648643733699,52,79,72,17,60,32,71,56,523
1648643733707,49,83,69,13,60,35,77,58,529
1648643733714,55,78,67,8,60,35,72,56,522
1648643733724,48,85,68,12,58,35,75,54,521
1648643733732,48,81,67,14,64,37,78,55,523
1648643733758,47,84,68,13,62,33,78,63,530
1648643733765,48,80,73,18,61,40,74,58,524
1648643733773,42,84,63,15,56,35,61,57,524
1648643733781,50,78,68,15,59,35,75,55,524
1648643733788,50,83,72,17,64,41,80,58,534
1648643733796,47,79,65,10,63,38,77,54,523
1648643733804,51,83,67,14,58,36,78,59,511
1648643733812,52,78,67,16,70,37,75,55,520
1648643733822,51,76,70,13,58,33,74,56,525
1648643733830,45,82,68,13,65,38,80,64,529
1648643733840,45,78,65,12,56,38,73,53,528
1648643733848,48,81,69,18,66,35,72,57,524
1648643733856,48,83,72,17,63,35,74,53,523
1648643733864,46,83,68,13,60,37,77,61,524
1648643733874,56,79,68,15,58,33,79,57,528
1648643733895,53,75,72,11,65,42,77,55,524
1648643733905,56,81,69,16,60,35,80,56,526
1648643733913,49,83,68,13,60,36,73,60,527
1648643733921,50,81,66,15,61,31,77,55,529
1648643733929,49,79,69,17,63,30,71,57,528
1648643733936,49,81,71,13,61,43,77,57,526
1648643733945,51,80,74,14,59,35,78,56,528
1648643733954,47,80,62,16,65,34,76,60,530
1648643733963,46,81,68,16,59,32,76,54,526
1648643733971,46,80,69,16,53,35,74,57,520
1648643733980,64,71,85,5,72,28,83,69,518
1648643733988,57,81,63,27,57,33,80,50,542
1648643733996,58,75,72,22,56,31,74,66,526
1648643734006,51,85,69,17,62,36,79,62,530
1648643734014,48,83,71,18,63,36,79,60,518
1648643734024,55,85,73,16,60,35,77,63,527
