Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648840352091,70,105,101,27,71,53,113,83,664
1648840352104,60,112,90,31,72,48,120,78,660
1648840352113,56,110,89,34,74,48,117,76,659
1648840352120,58,112,90,38,74,46,114,78,661
1648840352128,56,110,90,34,71,49,116,82,661
1648840352136,61,114,92,35,73,47,111,78,664
1648840352144,55,113,90,32,76,46,115,75,661
1648840352151,60,112,92,32,71,48,118,78,659
1648840352159,63,114,89,41,68,44,116,77,657
1648840352170,63,109,94,30,69,52,121,81,664
1648840352183,73,124,86,28,76,55,116,85,661
1648840352192,61,114,101,25,79,49,118,83,660
1648840352200,69,116,79,43,67,43,127,85,674
1648840352208,54,113,94,27,79,48,115,90,665
1648840352216,52,110,103,38,68,51,120,86,660
1648840352224,56,104,101,32,79,50,116,85,661
1648840352232,71,107,86,42,78,42,127,73,681
1648840352243,67,109,88,32,75,53,117,77,659
1648840352254,64,107,89,33,69,48,117,76,658
1648840352263,60,107,88,39,77,50,119,77,660
1648840352274,61,105,91,35,71,51,119,83,658
1648840352285,64,114,86,34,68,47,117,76,662
1648840352294,64,112,89,32,72,51,120,79,666
1648840352302,62,110,89,36,68,52,118,74,662
1648840352310,56,109,95,37,71,43,115,75,670
1648840352318,64,111,90,31,70,51,118,76,666
1648840352326,64,114,92,36,70,43,116,78,665
1648840352334,63,111,91,34,72,48,116,74,662
1648840352342,65,111,95,37,71,51,118,76,661
1648840352352,57,116,86,33,70,51,125,72,660
1648840352361,62,109,87,39,71,44,116,81,667
1648840352372,57,114,89,33,73,46,120,78,662
1648840352384,65,111,96,34,72,48,119,78,662
1648840352393,64,111,94,35,67,47,118,79,666
1648840352401,59,112,92,37,73,46,115,82,664
1648840352409,63,114,87,34,72,46,115,75,666
1648840352417,58,113,92,35,75,45,118,77,664
1648840352424,62,110,91,35,76,53,114,74,663
1648840352433,59,111,90,32,69,46,118,78,666
1648840352443,61,107,83,40,71,46,115,71,660
1648840352453,58,112,91,37,72,48,111,77,667
1648840352463,61,114,93,36,71,53,118,77,664
1648840352473,60,109,92,33,74,47,117,75,657
1648840352483,64,113,93,35,72,45,119,80,662
1648840352494,59,111,98,23,86,41,119,85,659
1648840352502,71,120,80,44,79,47,118,84,663
1648840352510,60,107,102,31,68,59,116,77,671
1648840352518,56,107,98,26,78,53,112,82,675
1648840352530,65,109,88,34,70,51,120,77,660
1648840352597,63,107,90,35,71,48,119,75,664
1648840352605,62,113,93,28,70,46,118,79,668
1648840352613,59,111,88,32,71,52,114,77,659
