Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648641372099,41,99,64,8,63,31,63,62,467
1648641372113,49,86,64,19,52,27,62,44,467
1648641372121,43,90,64,18,61,27,63,53,472
1648641372129,40,84,64,16,57,34,62,46,470
1648641372137,46,83,63,17,57,32,65,43,472
1648641372145,45,89,63,19,58,25,66,42,468
1648641372153,47,91,63,17,56,25,65,48,470
1648641372161,49,87,65,20,58,27,62,49,471
1648641372171,47,86,66,18,53,27,68,60,471
1648641372182,58,95,53,19,65,23,72,49,465
1648641372190,42,96,71,15,48,39,65,57,470
1648641372198,38,87,62,31,47,39,58,48,473
1648641372206,41,84,77,7,64,39,65,47,476
1648641372213,37,92,59,34,44,41,57,58,465
1648641372222,38,89,70,15,52,36,56,46,480
1648641372230,42,79,63,31,48,41,60,58,477
1648641372237,45,98,67,9,69,22,74,47,484
1648641372250,49,84,63,17,54,31,66,51,469
1648641372258,44,91,62,16,56,27,66,52,471
1648641372265,45,84,62,24,59,33,67,50,470
1648641372274,44,88,63,22,54,31,67,46,470
1648641372282,40,86,62,20,50,28,61,50,470
1648641372290,44,90,63,19,60,29,59,44,469
1648641372297,43,90,58,23,59,25,68,50,470
1648641372307,39,80,63,18,57,24,66,53,474
1648641372314,44,87,63,18,56,32,70,56,466
1648641372322,43,90,62,25,60,32,66,49,469
1648641372330,44,89,63,19,56,31,63,47,467
1648641372338,44,89,64,18,56,31,67,49,469
1648641372346,46,85,65,13,52,29,67,52,472
1648641372354,42,83,65,16,60,26,66,52,466
1648641372361,45,87,64,20,60,30,66,49,470
1648641372371,45,88,66,17,58,26,65,52,469
1648641372490,44,87,67,14,56,25,65,50,468
1648641372497,44,84,67,17,55,28,66,51,469
1648641372505,40,85,64,20,56,22,68,54,469
1648641372513,39,88,60,19,55,25,68,49,467
1648641372521,45,90,69,19,60,24,64,50,471
1648641372529,50,89,68,16,57,28,67,44,468
1648641372538,48,92,63,21,54,43,76,44,487
1648641372547,55,91,52,28,46,37,60,61,470
1648641372555,57,101,55,28,68,28,75,42,486
1648641372563,52,91,57,36,51,40,61,58,470
1648641372571,47,81,71,14,63,23,77,39,476
1648641372578,52,79,63,21,54,25,65,50,472
1648641372588,41,88,66,21,56,29,68,54,475
1648641372596,46,90,65,20,62,31,70,48,467
1648641372604,40,92,63,19,58,24,65,48,469
1648641372614,48,85,63,19,59,34,68,53,475
1648641372798,49,91,63,19,52,26,71,45,473
1648641372806,42,94,66,22,55,23,72,45,475
1648641372813,45,89,59,19,55,26,70,51,473
1648641372821,46,88,64,18,61,25,69,49,474
1648641372829,44,90,64,20,55,30,71,51,473
1648641372836,41,91,62,19,54,25,65,49,471
1648641372844,43,91,63,21,61,30,71,51,475
1648641372852,52,96,52,13,66,25,83,47,482
1648641372860,45,102,57,34,50,39,62,50,489
1648641372868,45,83,72,21,53,33,74,54,469
1648641372876,35,101,60,29,54,39,85,50,482
1648641372884,49,94,75,14,65,26,65,44,473
1648641372891,46,88,66,20,57,28,69,50,473
1648641372899,42,93,64,19,56,26,75,51,478
1648641372907,43,88,66,17,52,23,71,51,481
1648641372915,41,92,65,19,54,25,68,48,481
1648641372924,44,89,66,22,55,30,72,48,469
1648641372931,49,89,59,18,59,28,71,54,470
1648641372939,40,91,57,19,58,32,76,48,473
1648641372947,42,91,63,17,53,25,72,51,473
1648641372955,46,86,60,26,53,30,72,51,477
1648641372964,52,92,63,21,57,27,74,52,476
1648641372972,47,91,60,21,55,32,69,50,472
1648641372980,42,95,63,23,56,28,71,49,474
1648641372988,50,90,65,23,56,26,72,49,470
1648641372998,44,87,59,22,57,29,70,47,472
1648641373006,47,95,64,21,59,26,73,47,473
1648641373015,45,90,66,18,58,30,74,46,480
1648641373023,55,106,60,31,49,42,63,59,471
1648641373031,35,90,74,10,59,34,71,53,481
1648641373039,41,104,59,24,57,40,69,61,469
1648641373052,50,90,63,19,58,31,72,48,474
1648641373207,44,94,64,20,57,28,72,49,477
1648641373215,50,89,64,22,52,28,71,50,475
1648641373223,50,91,64,23,53,28,69,51,478
1648641373231,43,93,60,19,62,27,78,51,477
1648641373240,42,91,62,21,53,30,73,51,475
1648641373249,53,91,66,23,55,23,69,50,476
1648641373257,39,88,60,22,58,26,73,54,476
1648641373264,49,99,62,23,53,30,71,49,476
1648641373272,47,88,65,18,61,28,77,55,475
1648641373280,46,91,63,21,52,26,83,53,474
1648641373288,37,89,64,21,61,26,75,53,471
1648641373296,41,93,65,22,57,28,73,45,477
1648641373307,49,102,56,13,67,22,88,44,492
1648641373315,59,93,61,28,54,39,66,54,488
1648641373323,50,96,72,15,59,37,67,56,486
1648641373330,47,111,51,31,53,35,86,49,478
1648641373338,49,102,64,20,68,31,68,53,469
1648641373346,55,86,69,32,49,25,86,49,483
1648641373354,54,82,68,26,62,43,66,61,470
1648641373363,39,91,66,26,59,27,73,44,475
1648641373371,47,98,64,21,60,28,77,46,474
1648641373379,51,93,66,21,57,22,73,55,479
1648641373388,44,96,62,25,53,26,74,47,474
1648641373396,49,99,64,26,60,28,79,47,475
1648641373407,43,92,63,18,60,28,75,46,476
1648641373415,52,95,59,24,51,30,76,53,483
1648641373423,48,95,64,22,58,27,74,45,472
1648641373431,46,96,66,22,58,30,82,51,473
1648641373438,47,95,65,23,55,28,69,47,474
1648641373446,47,94,61,22,58,28,75,46,474
1648641373456,50,94,61,18,57,38,76,57,474
1648641373464,45,83,72,40,51,43,74,54,482
1648641373472,49,102,55,35,45,32,72,55,481
1648641373480,61,100,57,37,44,37,70,55,485
1648641373488,56,86,73,24,48,39,67,59,475
1648641373500,46,92,61,19,51,30,79,53,479
1648641373625,52,101,67,24,58,27,80,46,474
1648641373633,48,90,62,23,57,27,72,47,475
1648641373640,46,92,61,23,58,25,81,47,475
1648641373648,46,96,61,23,53,24,74,52,478
1648641373656,46,98,66,21,56,25,79,56,474
1648641373664,47,95,65,23,57,26,75,47,480
1648641373673,48,94,60,23,58,24,75,43,476
1648641373681,47,95,60,16,57,27,80,40,478
1648641373689,38,92,63,21,57,31,80,51,471
1648641373697,44,104,62,25,61,23,75,54,476
1648641373707,44,95,68,23,57,28,75,49,492
1648641373718,45,110,75,17,64,22,83,46,491
1648641373726,48,102,69,20,55,28,93,47,487
1648641373734,60,94,62,31,53,43,68,62,472
1648641373744,49,96,62,22,49,26,76,48,473
1648641373752,54,94,59,23,57,28,76,49,473
1648641373783,48,81,58,26,55,24,75,51,477
1648641373791,43,95,63,21,60,33,76,53,475
1648641373799,49,100,64,26,60,30,75,52,478
1648641373807,44,98,65,25,57,31,81,48,474
1648641373816,47,98,61,20,52,29,77,47,477
1648641373824,43,95,63,27,57,29,77,56,474
1648641373832,42,96,63,23,61,30,74,62,474
1648641373840,56,103,56,38,59,28,84,41,470
