Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648748005109,82,120,81,30,69,45,117,74,725
1648748005123,63,116,91,16,72,49,103,76,718
1648748005131,58,112,92,18,74,47,100,76,719
1648748005139,61,115,94,20,75,50,103,77,721
1648748005147,63,115,93,17,74,48,101,77,719
1648748005155,62,113,93,20,73,48,101,77,720
1648748005162,61,112,90,20,72,50,101,77,719
1648748005170,62,121,93,19,77,47,99,77,724
1648748005181,60,112,93,19,69,49,107,77,736
1648748005189,52,116,102,12,89,41,100,88,716
1648748005197,75,104,103,23,75,57,100,88,714
1648748005205,52,110,105,9,81,48,109,83,722
1648748005213,57,122,84,37,69,56,96,79,725
1648748005221,51,118,104,12,83,44,104,83,728
1648748005229,74,104,102,24,70,57,93,91,716
1648748005237,77,110,102,13,76,45,115,69,736
1648748005246,78,114,89,26,79,42,118,67,736
1648748005256,62,115,90,19,75,49,102,75,716
1648748005264,59,115,90,22,70,49,100,75,714
1648748005274,67,113,94,15,72,50,105,77,718
1648748005284,61,113,94,20,77,49,99,79,712
1648748005295,61,111,89,22,76,51,101,78,717
1648748005305,60,114,90,18,72,53,99,74,716
1648748005317,68,113,92,19,74,48,102,74,720
1648748005327,62,113,91,22,74,50,102,78,720
1648748005335,60,114,92,20,72,47,102,78,720
1648748005343,60,116,94,22,75,49,101,75,721
1648748005351,61,113,89,19,72,48,100,76,719
1648748005359,58,114,91,20,74,49,104,81,722
1648748005367,64,115,95,20,82,52,100,75,712
1648748005378,63,111,91,18,74,50,100,76,713
1648748005388,63,112,90,17,71,48,101,78,718
1648748005400,62,113,93,18,73,50,110,81,718
1648748005730,64,111,92,18,76,48,103,80,720
1648748005740,65,112,93,19,70,45,102,77,721
1648748005748,63,115,91,17,73,46,103,76,718
1648748005755,62,115,90,20,73,46,102,76,721
1648748005763,59,114,95,21,75,47,99,77,720
1648748005771,62,116,91,20,70,53,104,79,724
1648748005779,64,116,93,23,72,48,100,76,714
1648748005788,65,109,92,19,76,49,100,74,714
1648748005798,63,118,99,19,74,49,96,72,716
1648748005809,64,115,91,20,75,51,100,73,718
1648748005819,66,118,91,21,81,45,103,79,720
1648748005832,61,106,97,26,62,63,103,82,737
1648748005840,77,104,97,24,68,64,97,91,723
