Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650984770119,48,221,66,75,77,45,154,57,1119
1650984770133,58,207,73,57,84,38,146,68,1098
1650984770141,51,203,72,56,89,40,146,70,1097
1650984770149,56,206,71,57,84,41,145,69,1102
1650984770157,55,203,70,65,88,42,149,69,1100
1650984770165,53,206,67,54,85,45,149,71,1096
1650984770175,54,202,69,58,82,40,142,68,1103
1650984770182,55,204,71,58,86,40,145,70,1102
1650984770191,54,209,72,57,81,47,146,70,1103
1650984770200,49,208,69,56,85,39,146,67,1096
1650984770208,51,215,74,54,83,41,143,67,1098
1650984770216,56,208,67,56,84,43,147,71,1098
1650984770225,55,207,74,57,86,41,142,65,1100
1650984770233,52,206,69,58,85,41,146,67,1098
1650984770241,55,208,74,61,83,43,144,64,1101
1650984770250,54,207,75,54,90,45,142,70,1098
1650984770258,52,203,72,58,89,41,144,66,1105
1650984770265,50,208,71,57,85,44,144,63,1099
1650984770273,54,207,72,59,80,38,143,66,1096
1650984770281,50,213,70,57,85,40,146,64,1094
1650984770288,53,205,74,58,85,40,144,66,1100
1650984770296,53,209,71,59,85,42,144,70,1092
1650984770305,54,210,69,58,81,43,141,67,1101
1650984770313,50,203,72,60,86,38,141,69,1103
1650984770321,49,205,67,59,82,40,147,68,1098
1650984770328,49,211,73,56,78,38,147,69,1098
1650984770337,55,210,67,56,81,39,141,68,1098
1650984770345,55,209,69,60,85,39,147,69,1100
1650984770353,53,205,68,59,85,39,142,72,1100
1650984770361,57,209,73,56,86,38,147,65,1102
1650984770368,54,206,70,58,82,43,144,71,1097
1650984770376,49,203,68,59,85,40,144,71,1095
1650984770384,49,206,70,62,87,36,144,67,1094
1650984770395,50,200,68,62,87,43,142,63,1097
1650984770403,50,204,68,59,84,41,145,64,1098
1650984770411,52,208,74,62,85,44,145,68,1099
1650984770418,59,209,67,57,87,40,144,63,1097
1650984770429,61,205,70,56,87,41,146,70,1098
1650984770437,55,205,71,60,89,41,147,72,1100
1650984770444,57,206,72,60,84,44,145,72,1099
1650984770452,56,209,72,61,81,47,144,70,1097
1650984770462,53,203,72,58,84,42,141,68,1098
1650984770470,54,206,66,54,88,38,146,66,1097
1650984770478,53,205,69,60,87,38,138,67,1094
1650984770485,54,208,70,59,85,42,148,68,1098
1650984770495,50,210,70,57,86,40,141,64,1093
1650984770503,51,208,75,61,86,46,146,67,1103
1650984770511,51,204,69,59,83,42,142,68,1102
1650984770518,51,209,69,58,88,39,140,71,1092
1650984770528,53,205,73,55,80,40,142,69,1099
1650984770536,54,205,71,59,86,41,142,68,1101
1650984770543,56,202,67,56,84,37,142,61,1095
1650984770553,55,209,67,58,82,37,139,70,1094
1650984770561,54,209,71,58,86,42,145,69,1092
1650984770569,55,208,70,58,82,40,145,67,1093
1650984770578,53,208,69,58,81,40,141,68,1093
1650984770586,53,203,66,56,83,40,145,67,1096
1650984770594,56,209,71,58,87,42,145,67,1100
1650984770603,56,210,72,59,86,42,146,67,1102
1650984770611,52,207,68,56,86,43,143,70,1099
1650984770619,54,209,70,61,87,41,146,71,1097
1650984770629,55,202,69,55,85,39,138,67,1095
1650984770636,53,204,70,61,84,37,140,69,1098
1650984770645,52,202,69,56,83,37,144,64,1098
1650984770653,53,206,70,56,85,36,143,65,1100
1650984770661,53,208,73,56,84,44,140,68,1099
1650984770668,52,207,72,56,83,38,144,68,1096
1650984770676,51,205,76,56,82,37,142,69,1097
1650984770685,56,202,70,51,85,39,141,67,1102
1650984770693,54,206,75,62,84,42,144,70,1098
1650984770701,52,206,69,55,87,41,148,67,1093
1650984770708,54,204,65,56,84,40,140,69,1099
1650984770717,55,210,71,60,87,41,141,67,1100
1650984770725,49,206,74,60,85,43,147,70,1095
1650984770733,53,204,67,52,84,39,145,66,1099
1650984770741,52,203,71,56,87,42,145,68,1100
1650984770748,54,206,68,59,80,40,142,69,1105
1650984770758,51,204,67,56,82,42,146,67,1102
1650984770766,52,205,70,57,84,36,145,67,1101
1650984770775,53,207,70,56,86,36,144,66,1098
1650984770783,52,190,69,54,82,37,142,70,1100
1650984770791,55,208,71,59,87,45,148,69,1096
1650984770800,57,207,69,61,88,46,142,68,1092
1650984770808,53,204,70,58,86,40,144,66,1095
1650984770815,53,204,73,54,83,40,147,65,1092
1650984770823,53,207,73,60,88,43,144,65,1101
1650984770833,57,206,71,56,85,35,141,70,1098
1650984770840,52,204,67,58,85,37,144,64,1101
1650984770848,53,205,70,59,83,40,145,70,1101
1650984770856,54,208,68,60,84,35,148,68,1096
1650984770863,51,207,72,62,82,35,145,70,1096
1650984770873,52,206,73,61,87,41,146,69,1101
1650984770880,50,206,71,53,86,39,143,67,1100
1650984770888,55,210,72,59,86,43,144,69,1097
1650984770896,56,205,72,62,94,44,147,64,1103
1650984770905,49,201,70,55,82,41,141,69,1096
1650984770912,49,204,74,57,87,41,148,67,1097
1650984770921,53,206,69,57,84,41,139,68,1101
1650984770929,49,200,68,56,85,43,144,68,1101
1650984770939,54,205,69,58,87,40,145,71,1101
1650984770946,54,207,72,61,82,41,145,71,1098
1650984770954,57,205,74,59,91,43,145,71,1097
1650984770962,50,207,68,58,87,41,144,68,1099
1650984770970,54,207,67,53,83,40,137,63,1095
1650984770979,55,205,69,58,86,44,144,67,1104
1650984770986,53,211,66,59,84,39,148,65,1098
1650984770994,54,209,73,55,90,39,144,66,1100
1650984771003,51,205,72,61,86,44,141,67,1098
1650984771011,52,202,71,55,85,43,146,68,1101
1650984771019,50,200,70,59,86,41,143,73,1105
1650984771028,52,205,69,55,83,45,143,68,1099
1650984771036,55,207,69,59,84,39,145,66,1097
1650984771043,61,206,71,56,86,38,141,65,1097
1650984771053,53,205,71,56,89,40,145,66,1102
1650984771061,51,204,68,54,82,36,142,66,1096
1650984771069,52,205,65,52,85,46,144,69,1100
1650984771078,57,205,70,58,81,44,142,68,1098
1650984771085,52,205,70,54,86,42,144,68,1094
1650984771093,56,209,71,60,88,47,150,72,1103
1650984771103,54,207,70,55,89,44,146,65,1104
1650984771111,52,206,71,54,85,39,141,65,1098
1650984771119,56,210,72,59,88,46,145,67,1101
1650984771127,53,207,67,57,85,40,146,64,1104
1650984771135,50,205,70,58,96,43,141,63,1098
1650984771144,54,202,69,57,88,39,148,69,1102
1650984771152,51,209,69,57,84,43,143,66,1099
1650984771160,52,206,67,58,82,44,142,68,1098
1650984771168,54,203,70,56,83,39,138,65,1100
1650984771177,56,213,71,58,87,39,140,71,1097
1650984771184,56,207,66,59,86,42,141,70,1100
1650984771192,54,209,73,58,85,39,143,68,1094
1650984771200,52,205,66,53,90,39,146,71,1104
1650984771209,54,206,70,57,81,38,142,70,1101
1650984771217,49,205,69,54,85,38,142,70,1105
1650984771224,53,202,73,54,85,41,145,68,1099
1650984771232,50,210,74,59,86,45,146,69,1097
1650984771242,53,207,69,59,84,39,142,66,1100
1650984771250,56,206,70,55,79,41,142,62,1098
1650984771257,51,205,66,57,87,42,138,63,1102
1650984771269,58,208,74,62,83,43,147,70,1099
1650984771277,52,204,72,61,85,40,141,71,1105
1650984771287,40,207,71,54,87,41,145,69,1099
1650984771295,53,202,71,57,89,42,146,63,1103
1650984771302,55,205,73,61,85,42,145,72,1103
1650984771311,53,206,69,55,85,45,142,68,1105
1650984771321,52,205,67,56,84,42,143,70,1101
1650984771329,55,199,72,58,83,40,137,71,1099
1650984771337,54,203,74,56,81,40,142,65,1096
1650984771344,53,204,69,55,86,44,143,67,1101
1650984771355,59,211,69,58,86,42,145,65,1104
1650984771363,56,206,70,54,84,41,146,69,1103
1650984771370,54,211,72,56,86,44,143,70,1106
1650984771378,52,212,68,57,86,40,140,69,1097
1650984771388,55,207,69,54,82,39,139,66,1099
1650984771396,52,205,69,53,82,38,140,67,1104
1650984771403,55,204,74,50,87,39,144,71,1105
1650984771411,54,206,71,57,83,42,144,66,1102
1650984771420,56,210,70,58,88,40,144,72,1104
1650984771429,55,208,71,57,86,44,145,66,1104
1650984771436,51,204,70,58,87,40,147,70,1106
1650984771446,54,203,70,55,83,46,142,72,1106
1650984771454,49,203,69,56,84,37,138,67,1103
1650984771464,59,211,69,58,82,39,144,66,1100
1650984771474,53,204,67,54,84,39,140,70,1103
1650984771482,54,205,70,58,80,39,143,70,1104
1650984771489,57,209,70,55,87,39,140,69,1106
1650984771497,52,204,70,54,88,43,146,68,1104
1650984771505,48,199,69,51,86,41,141,73,1099
1650984771514,50,205,67,57,83,40,141,66,1102
1650984771522,56,206,73,56,84,44,144,65,1104
1650984771530,53,202,73,59,88,45,141,72,1103
1650984771539,56,209,72,60,82,44,143,66,1103
1650984771547,56,203,69,55,86,42,144,73,1103
1650984771555,52,210,70,53,84,38,139,69,1101
1650984771563,51,203,72,58,85,41,140,67,1100
1650984771570,54,204,69,58,88,45,144,63,1101
1650984771580,49,211,74,59,86,46,141,63,1101
1650984771587,52,209,67,53,86,42,140,70,1107
1650984771595,56,200,71,54,84,46,146,70,1105
1650984771603,51,205,75,59,87,39,147,70,1105
1650984771612,55,204,71,61,91,41,143,70,1106
1650984771620,54,204,70,56,87,42,144,66,1104
1650984771628,55,208,71,58,88,41,145,69,1104
1650984771636,53,204,71,57,89,39,144,68,1107
1650984771645,50,206,72,58,83,37,139,63,1104
1650984771653,52,209,73,51,81,42,142,64,1104
1650984771660,53,206,72,61,83,40,135,75,1105
1650984771669,53,209,71,58,88,39,142,71,1104
1650984771677,53,206,69,53,89,43,140,69,1105
1650984771685,56,205,68,54,83,38,139,69,1103
1650984771695,54,205,67,54,87,38,141,68,1106
1650984771703,51,206,70,57,87,42,142,70,1104
1650984771711,50,202,63,55,86,43,141,70,1106
1650984771719,54,202,67,55,82,39,145,66,1101
1650984771728,59,206,68,58,86,41,141,68,1107
1650984771736,55,209,74,57,85,43,144,68,1105
1650984771744,56,210,69,56,83,39,144,67,1106
1650984771752,56,207,69,61,80,41,138,71,1109
1650984771760,54,209,68,54,81,46,149,68,1103
1650984771769,51,202,68,58,84,39,136,72,1104
1650984771777,53,208,69,55,84,40,143,66,1103
1650984771784,56,205,68,55,86,40,139,64,1100
1650984771792,48,207,71,57,84,41,140,70,1110
1650984771800,53,203,71,57,88,41,141,67,1097
1650984771807,58,207,73,54,85,37,143,67,1104
1650984771817,54,207,69,56,83,38,139,65,1103
1650984771824,51,204,70,58,83,42,143,70,1105
1650984771832,51,199,66,59,87,38,140,64,1099
1650984771840,57,209,72,54,85,41,143,65,1106
1650984771848,58,203,71,56,86,41,140,65,1106
1650984771856,48,207,72,57,89,42,146,67,1102
1650984771863,54,204,70,55,84,44,141,69,1106
1650984771871,57,208,72,59,86,42,145,63,1105
1650984771881,49,207,67,55,86,39,141,70,1104
1650984771889,53,209,69,55,86,43,138,62,1104
1650984771896,54,205,70,55,90,42,141,69,1107
1650984771906,52,207,76,53,80,41,142,63,1109
1650984771915,51,203,67,52,81,37,139,67,1100
1650984771923,54,205,70,57,86,43,142,68,1104
1650984771930,49,207,68,53,85,42,145,68,1105
1650984771938,50,206,68,54,84,33,137,70,1104
1650984771947,51,210,72,55,91,43,140,65,1110
1650984771955,52,207,71,54,86,42,144,64,1103
1650984771963,57,202,68,53,83,47,142,66,1107
1650984771971,50,209,67,54,84,41,148,66,1106
1650984771980,52,202,66,51,87,37,143,67,1103
1650984771988,53,208,68,56,83,37,140,66,1111
1650984771996,57,208,72,56,83,43,143,72,1107
1650984772005,52,208,71,55,87,39,140,66,1104
1650984772013,54,205,69,59,88,38,141,70,1109
