Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1650986708091,0,0,0,0,0,0,0,0,0
1650986708104,0,0,0,0,0,0,0,0,0
1650986708112,0,0,0,0,0,0,0,0,0
1650986708122,0,0,0,0,0,0,0,0,0
1650986708130,0,0,0,0,0,0,0,0,0
1650986708137,0,0,0,0,0,0,0,0,0
1650986708146,0,0,0,0,0,0,0,0,0
1650986708157,0,0,0,0,0,0,0,0,0
1650986708165,0,0,0,0,0,0,0,0,0
1650986708173,0,0,0,0,0,0,0,0,0
1650986708181,0,0,0,0,0,0,0,0,0
1650986708189,0,0,0,0,0,0,0,0,0
1650986708198,0,0,0,0,0,0,0,0,0
1650986708206,0,0,0,0,0,0,0,0,0
1650986708214,0,0,0,0,0,0,0,0,0
1650986708224,0,0,0,0,0,0,0,0,0
1650986708232,0,0,0,0,0,0,0,0,0
1650986708239,0,0,0,0,0,0,0,0,0
1650986708247,0,0,0,0,0,0,0,0,0
1650986708256,0,0,0,0,0,0,0,0,0
1650986708264,0,0,0,0,0,0,0,0,0
1650986708272,0,0,0,0,0,0,0,0,0
1650986708279,0,0,0,0,0,0,0,0,0
1650986708287,0,0,0,0,0,0,0,0,0
1650986708295,0,0,0,0,0,0,0,0,0
1650986708303,0,0,0,0,0,0,0,0,0
1650986708311,0,0,0,0,0,0,0,0,0
1650986708319,0,0,0,0,0,0,0,0,0
1650986708328,0,0,0,0,0,0,0,0,0
1650986708336,0,0,0,0,0,0,0,0,0
1650986708345,0,0,0,0,0,0,0,0,0
1650986708354,0,0,0,0,0,0,0,0,0
1650986708362,0,0,0,0,0,0,0,0,0
1650986708370,0,0,0,0,0,0,0,0,0
1650986708377,0,0,0,0,0,0,0,0,0
1650986708387,0,0,0,0,0,0,0,0,0
1650986708395,0,0,0,0,0,0,0,0,0
1650986708402,0,0,0,0,0,0,0,0,0
1650986708410,0,0,0,0,0,0,0,0,0
1650986708418,0,0,0,0,0,0,0,0,0
1650986708426,0,0,0,0,0,0,0,0,0
1650986708434,0,0,0,0,0,0,0,0,0
1650986708441,0,0,0,0,0,0,0,0,0
1650986708451,0,0,0,0,0,0,0,0,0
1650986708460,0,0,0,0,0,0,0,0,0
1650986708468,0,0,0,0,0,0,0,0,0
1650986708476,0,0,0,0,0,0,0,0,0
1650986708487,0,0,0,0,0,0,0,0,0
1650986708496,0,0,0,0,0,0,0,0,0
1650986708504,0,0,0,0,0,0,0,0,0
1650986708514,0,0,0,0,0,0,0,0,0
1650986708522,0,0,0,0,0,0,0,0,0
1650986708529,0,0,0,0,0,0,0,0,0
1650986708539,0,0,0,0,0,0,0,0,0
1650986708548,0,0,0,0,0,0,0,0,0
1650986708556,0,0,0,0,0,0,0,0,0
1650986708565,0,0,0,0,0,0,0,0,0
1650986708573,0,0,0,0,0,0,0,0,0
1650986708581,0,0,0,0,0,0,0,0,0
1650986708591,0,0,0,0,0,0,0,0,0
1650986708599,0,0,0,0,0,0,0,0,0
1650986708607,0,0,0,0,0,0,0,0,0
1650986708616,0,0,0,0,0,0,0,0,0
1650986708624,0,0,0,0,0,0,0,0,0
1650986708631,0,0,0,0,0,0,0,0,0
1650986708641,0,0,0,0,0,0,0,0,0
1650986708650,0,0,0,0,0,0,0,0,0
1650986708657,0,0,0,0,0,0,0,0,0
1650986708665,0,0,0,0,0,0,0,0,0
1650986708673,0,0,0,0,0,0,0,0,0
1650986708682,0,0,0,0,0,0,0,0,0
1650986708691,0,0,0,0,0,0,0,0,0
1650986708699,0,0,0,0,0,0,0,0,0
1650986708706,0,0,0,0,0,0,0,0,0
1650986708715,0,0,0,0,0,0,0,0,0
1650986708724,0,0,0,0,0,0,0,0,0
1650986708732,0,0,0,0,0,0,0,0,0
1650986708740,0,0,0,0,0,0,0,0,0
1650986708747,0,0,0,0,0,0,0,0,0
1650986708757,0,0,0,0,0,0,0,0,0
1650986708764,0,0,0,0,0,0,0,0,0
1650986708772,0,0,0,0,0,0,0,0,0
1650986708780,0,0,0,0,0,0,0,0,0
1650986708788,0,0,0,0,0,0,0,0,0
1650986708796,0,0,0,0,0,0,0,0,0
1650986708803,0,0,0,0,0,0,0,0,0
1650986708811,0,0,0,0,0,0,0,0,0
1650986708819,0,0,0,0,0,0,0,0,0
1650986708828,0,0,0,0,0,0,0,0,0
1650986708838,0,0,0,0,0,0,0,0,0
1650986708848,0,0,0,0,0,0,0,0,0
1650986708856,0,0,0,0,0,0,0,0,0
1650986708863,0,0,0,0,0,0,0,0,0
1650986708873,0,0,0,0,0,0,0,0,0
1650986708881,0,0,0,0,0,0,0,0,0
1650986708889,0,0,0,0,0,0,0,0,0
1650986708897,0,0,0,0,0,0,0,0,0
1650986708906,0,0,0,0,0,0,0,0,0
1650986708914,0,0,0,0,0,0,0,0,0
1650986708921,0,0,0,0,0,0,0,0,0
1650986708931,0,0,0,0,0,0,0,0,0
1650986708941,0,0,0,0,0,0,0,0,0
1650986708950,0,0,0,0,0,0,0,0,0
1650986708958,0,0,0,0,0,0,0,0,0
1650986708966,0,0,0,0,0,0,0,0,0
1650986708975,0,0,0,0,0,0,0,0,0
1650986708983,0,0,0,0,0,0,0,0,0
1650986708991,0,0,0,0,0,0,0,0,0
1650986709002,0,0,0,0,0,0,0,0,0
1650986709010,0,0,0,0,0,0,0,0,0
1650986709017,0,0,0,0,0,0,0,0,0
1650986709025,0,0,0,0,0,0,0,0,0
1650986709035,0,0,0,0,0,0,0,0,0
1650986709043,0,0,0,0,0,0,0,0,0
1650986709051,0,0,0,0,0,0,0,0,0
1650986709059,0,0,0,0,0,0,0,0,0
1650986709068,0,0,0,0,0,0,0,0,0
1650986709076,0,0,0,0,0,0,0,0,0
1650986709084,0,0,0,0,0,0,0,0,0
1650986709092,0,0,0,0,0,0,0,0,0
1650986709101,0,0,0,0,0,0,0,0,0
1650986709109,0,0,0,0,0,0,0,0,0
1650986709116,0,0,0,0,0,0,0,0,0
1650986709124,0,0,0,0,0,0,0,0,0
1650986709132,0,0,0,0,0,0,0,0,0
1650986709140,0,0,0,0,0,0,0,0,0
1650986709148,0,0,0,0,0,0,0,0,0
1650986709155,0,0,0,0,0,0,0,0,0
1650986709163,0,0,0,0,0,0,0,0,0
1650986709171,0,0,0,0,0,0,0,0,0
1650986709179,0,0,0,0,0,0,0,0,0
1650986709187,0,0,0,0,0,0,0,0,0
1650986709196,0,0,0,0,0,0,0,0,0
1650986709203,0,0,0,0,0,0,0,0,0
1650986709211,0,0,0,0,0,0,0,0,0
1650986709219,0,0,0,0,0,0,0,0,0
1650986709228,0,0,0,0,0,0,0,0,0
1650986709236,0,0,0,0,0,0,0,0,0
1650986709244,0,0,0,0,0,0,0,0,0
1650986709252,0,0,0,0,0,0,0,0,0
1650986709262,0,0,0,0,0,0,0,0,0
1650986709270,0,0,0,0,0,0,0,0,0
1650986709277,0,0,0,0,0,0,0,0,0
1650986709285,0,0,0,0,0,0,0,0,0
1650986709294,0,0,0,0,0,0,0,0,0
1650986709302,0,0,0,0,0,0,0,0,0
1650986709310,0,0,0,0,0,0,0,0,0
1650986709318,0,0,0,0,0,0,0,0,0
1650986709327,0,0,0,0,0,0,0,0,0
1650986709335,0,0,0,0,0,0,0,0,0
1650986709346,0,0,0,0,0,0,0,0,0
1650986709356,0,0,0,0,0,0,0,0,0
1650986709364,0,0,0,0,0,0,0,0,0
1650986709372,0,0,0,0,0,0,0,0,0
1650986709380,0,0,0,0,0,0,0,0,0
1650986709389,0,0,0,0,0,0,0,0,0
1650986709396,0,0,0,0,0,0,0,0,0
1650986709404,0,0,0,0,0,0,0,0,0
1650986709413,0,0,0,0,0,0,0,0,0
1650986709421,0,0,0,0,0,0,0,0,0
1650986709429,0,0,0,0,0,0,0,0,0
1650986709440,0,0,0,0,0,0,0,0,0
1650986709448,0,0,0,0,0,0,0,0,0
1650986709456,0,0,0,0,0,0,0,0,0
1650986709464,0,0,0,0,0,0,0,0,0
1650986709473,0,0,0,0,0,0,0,0,0
1650986709481,0,0,0,0,0,0,0,0,0
1650986709488,0,0,0,0,0,0,0,0,0
1650986709498,0,0,0,0,0,0,0,0,0
1650986709506,0,0,0,0,0,0,0,0,0
1650986709514,0,0,0,0,0,0,0,0,0
1650986709524,0,0,0,0,0,0,0,0,0
1650986709532,0,0,0,0,0,0,0,0,0
1650986709539,0,0,0,0,0,0,0,0,0
1650986709547,0,0,0,0,0,0,0,0,0
1650986709557,0,0,0,0,0,0,0,0,0
1650986709565,0,0,0,0,0,0,0,0,0
1650986709573,0,0,0,0,0,0,0,0,0
1650986709581,0,0,0,0,0,0,0,0,0
1650986709590,0,0,0,0,0,0,0,0,0
1650986709599,0,0,0,0,0,0,0,0,0
1650986709606,0,0,0,0,0,0,0,0,0
1650986709614,0,0,0,0,0,0,0,0,0
1650986709624,0,0,0,0,0,0,0,0,0
1650986709632,0,0,0,0,0,0,0,0,0
1650986709639,0,0,0,0,0,0,0,0,0
1650986709648,0,0,0,0,0,0,0,0,0
1650986709656,0,0,0,0,0,0,0,0,0
1650986709664,0,0,0,0,0,0,0,0,0
1650986709674,0,0,0,0,0,0,0,0,0
1650986709682,0,0,0,0,0,0,0,0,0
1650986709690,0,0,0,0,0,0,0,0,0
1650986709699,0,0,0,0,0,0,0,0,0
1650986709707,0,0,0,0,0,0,0,0,0
1650986709715,0,0,0,0,0,0,0,0,0
1650986709723,0,0,0,0,0,0,0,0,0
1650986709732,0,0,0,0,0,0,0,0,0
1650986709741,0,0,0,0,0,0,0,0,0
1650986709749,0,0,0,0,0,0,0,0,0
1650986709761,0,0,0,0,0,0,0,0,0
1650986709769,0,0,0,0,0,0,0,0,0
1650986709778,0,0,0,0,0,0,0,0,0
1650986709788,0,0,0,0,0,0,0,0,0
1650986709796,0,0,0,0,0,0,0,0,0
1650986709803,0,0,0,0,0,0,0,0,0
